node,total_fee,degree,capacity
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,48.0,1223,1264434465.0
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,46.04599999999999,894,721172455.5
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,34.1,395,135883196.5
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,32.0,706,1491462479.5
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,19.019,609,247639451.5
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,19.0,446,874642189.0
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,14.028,583,730335509.5
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,14.014,488,894384558.0
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,14.0,731,1420483186.5
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,12.011999999999999,761,229382583.5
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,10.5,546,588824711.0
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,10.1,224,104234070.0
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,10.009999999999998,516,85624317.0
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,10.0,361,813412174.0
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,10.0,410,830979072.5
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,10.0,392,765215479.0
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9.9,936,1334028258.5
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,9.162,386,151862060.5
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,9.0,418,823690405.0
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,8.224,579,290576512.0
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,8.0,386,827867798.5
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,7.0,412,828741159.5
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,7.0,390,801678703.5
03f8ab9b7496be92ce370e0224661d5d2de80bca8f505d66f1226d0e6002007d2a,6.6000000000000005,226,7878723.0
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,6.6000000000000005,262,20686388.5
03205b045b0126c0d3fb826a38b9befc4babf51689544908c704d8e51fdec75ffb,6.6,118,78453830.0
0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e,6.244,81,72291854.0
03012a23c769decc4fb40a92d5300692b576cb8dc887072580638b97911742554c,6.2295,201,73460053.0
03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73,6.0600000000000005,172,4030768.5
02b3877314aff657216ceac039244fe94e7116af10cfffac0232fefa5903c62a58,6.005999999999999,89,59780523.0
026b105ac13212c48714c6be9b11577a9ce10f10e1c88a45ce217e6331209faf8b,5.05,63,29676381.0
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,5.004999999999999,478,453421340.5
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,5.004999999999999,145,115140905.5
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,5.0,417,826774458.0
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,5.0,445,840466290.5
03780bc0d405f8e9695a4474a03ed3314d761cfa3baf3ea8351c025d66399f969d,4.4,87,50491907.5
03649c72a4816f0cd546f84aafbd657e92a30ab474de7ab795e8b5650a427611f7,4.04,151,167865760.0
02e5b2ac99105e0ac17d92e3e1d9535f8300fcf3b4983283d8a86861b675a9a129,4.04,5,262056.0
02ccf167c482cbcd41c9a3ff3fe05504368db8911319d7851186b097a509d912c0,4.004999999999999,53,40804320.0
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,4.004,342,337077191.5
03321fab5e3db6c378e23e9cceb522325dc4f6b0c68819944569128d34cba9cca3,4.004,104,23622937.0
0354fcd9f1554f3505238e1b3c29223868953730c30b6565ad482dc31e90bcfa93,4.004,8,8913607.5
02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86,4.004,105,63786902.0
021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f,4.004,96,75294631.5
026ba4fea7ba82e578ce294bd168daa25f7950db0409c15145036f25c905ccfd9a,4.004,9,2185709.5
03ccfa463aa95e16fad96da31771d63f21efcf6e677483268aa58416c43aba8f41,4.004,14,587500.0
024a2e265cd66066b78a788ae615acdc84b5b0dec9efac36d7ac87513015eaf6ed,4.004,86,68831979.0
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,4.0,415,847028767.0
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,4.0,417,879476572.0
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,4.0,646,1332246687.5
032d4baebebfdeab7a2ecef2fbe109cbef10de95f05aa54090fdb687789547dbf5,3.7039999999999997,389,49638230.5
0394396e6e8cf8d9f91de4269dfd2e8416b93b91cae6139057c7283b463e4bfa31,3.0300000000000002,173,16967964.0
02398b614028892474fc95ed64c48791f994975042d0bd7e9592d0ec4128bbace4,3.0300000000000002,21,13800874.0
02c4fec754506ea170712588600bf23f11fa123aa6b0eaf1e3617c1e6a6cd02848,3.0300000000000002,8,7352879.5
02d4531a2f2e6e5a9033d37d548cff4834a3898e74c3abe1985b493c42ebbd707d,3.0300000000000002,28,13822386.5
02009947c197575f5a948e1e4343c41dc2e6122a9bd644629afb919f30e1115ff8,3.0300000000000002,10,3731524.0
038d0543c2f838fc6229bd7b80df46d8bad9f30c874ee3ac4578c4ce6f57956f08,3.0300000000000002,36,59550000.0
02c0b38022846c6b6f45b30031859ac7c5fb0c67ec8ed5cce8409c4b438c267ffe,3.0029999999999997,185,69378820.5
0219c2f8818bd2124dcc41827b726fd486c13cdfb6edf4e1458194663fb07891c7,3.0029999999999997,169,58586273.5
020de548b86e373e795e37343c9ef6f972d45ade479cc71ed5a9a7dac2588d0a37,3.0029999999999997,94,38775723.0
0225313f6c76ba1fff4bb1d67e6333eb6b514dc7af60346f585cc7dd9ed7cc13f4,3.0029999999999997,23,8412274.5
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,3.0029999999999997,231,161190312.0
02310841b34230632b2e8185f9429dbf27a463270cf049a66ce2d56b524b283b6d,3.0029999999999997,50,40106853.5
03c334f18a877949c980b17ea7fef2576a6069e56695eb5ebd0f4ae90a9b3905e2,3.0029999999999997,11,9420007.0
02e4aaf7c4f4b8ccb105ddf90ff991a76d43a2b732bac12dda043add4ef51846ed,3.0029999999999997,21,12278057.5
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,3.0029999999999997,305,161726137.5
0251a08c8f96c02bac929be2fd91b6ae714b1b90fa29a11833d6f226ac9e5071ef,3.0029999999999997,11,382210.5
025ec98aec0297b115008e29628762a6f9a6b14fae97aeb53d63a86e193374852f,3.0029999999999997,24,4519938.0
02cf3cc45d8fee5055c4ba5a58fe22ae973685fa2cb43e2c5b6454eaa1d08066a8,3.0029999999999997,30,25163466.0
0234c548106512a0b93b2555d2638bc2fed3e6b091f75298383356258996230d92,3.0029999999999997,71,43564682.5
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,2.736,991,398888289.5
02de367d7c2610a3f2d5b831ffdf6b5fe07b5b47a539b68b2976b5a807777d1456,2.505,16,23850000.0
026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,2.268,363,208751199.5
02a5c7b9a2be3ab3d8c1647f991bf5f0757651a0b92f4133dc31e52b3315881adf,2.2,96,5150000.0
02d35ad6428b083d63575e3b0ce33e06c507910c131970b07dc194953b43a9794c,2.02,41,52014894.0
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,2.004,202,449396141.0
02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,2.002,153,46225144.5
03fe493b887b492cf5a88f92d5e00b5119b6d905c7c68c660cb2f8cc46aedaeafc,2.002,23,3750000.0
02c921ef88d90e8760b31227ccc82dd8d4bb8082d636935abcde0cde4827f1ebb9,2.002,31,4759225.0
031d244a60d61936834f290656cdf0ed4b9979260c19b07804bde681819f8e14ca,2.002,100,32481189.5
032b71cc07ea5ff346e7ce9eddad0b55d7e18b788a1e6b4dda3fbd3a7ddbf79bbc,2.002,23,9181448.0
02ab9dabbf646626d32863e9dc81560e48681d2a49e0da3fbb4b4df11a58cc0fd3,2.002,111,148150471.5
0356c02ffe265f8ff38471e901785528d3da0668cd0a590ed67ee809d929c9bfd4,2.002,48,48145646.0
036ac04a69f2ab587fd83c4f2aca255a81f138276fbca344ac3ecfae28d733be56,2.002,89,43909360.5
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,2.002,253,149133381.0
02fffb0baa1f8a64d92c8b4222278c33a9c16d0f37bba24104c678fd9e4e7f57d6,2.002,84,95222458.5
03a8334aba5660e241468e2f0deb2526bfd50d0e3fe808d882913e39094dc1a028,2.002,89,77190077.0
03c7abcf7ef3d212faf3b48bc527bbd4e285579f71739d7be9ffeefbd5486a1727,2.002,25,6735368.0
03f9d34e9a5564064730e76b2566b8185725fe5143dda6bdc35ba940687f9c980b,2.002,54,13712528.5
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,2.002,117,84917407.5
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,2.001,273,138852961.0
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,2.0,280,820800836.5
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,2.0,297,814626249.5
02f45d28f3477a408d0d3e18a6cdedae9d58df18cf271ac84a0ce7d00699f38d19,1.7999999999999998,63,24871930.5
03efccf2c383d7bf340da9a3f02e2c23104a0e4fe8ac1a880c8e2dc92fbdacd9df,1.5870000000000002,57,44521723.0
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,1.0929999999999997,729,408178622.0
02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,1.05,270,203315489.0
0332052748755d74b3395b91eaea78b53bd64b55eb031ccb6a7ae23ac445bb6af7,1.013,139,41216397.0
03f1ed5c4182534d9cee23c02248c862eb5b46ff295cc0a0c4beb73b138ed92fc8,1.01,17,1517643.0
02588bb45bbfa7496510115c97e743302c28de881cf135a7253edac6de0d57924c,1.01,17,6340560.0
03db39d2f0bff36f69969807f54829e82073afb88f0fd2996e61d245a797169a28,1.01,8,1327500.0
03cac8425d15440dec66f7a86155f2f457301aa434a6abdb82af2252ef477e7eb0,1.001,97,70145622.5
0353308936d64e44970186cb43f215fbce1e2ab8631da17c545fadb0a79312229c,1.001,36,4858812.5
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,1.001,382,256434770.0
03a5886df676f3b3216a4520156157b8d653e262b520281d8d325c24fd8b456b9c,1.001,218,32626782.0
03a511c490430787699573a9de1987881831e6dce1077cfcd2c52c97c9c94f5339,1.001,14,821993.5
039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400,1.001,231,196592468.0
02690881543d633f3a16c8ff97397f3f2e8765a15f5ac057d701243e5adb7ba856,1.001,208,37350000.0
03487fa0212243e20cb6504d5b93a144d0bc4d83d3d8a083691037a8892f9e5522,1.001,54,21068265.5
02a15d043069892b1f93bdf4bf0160447afd61f7f23548bf1c56d92fd9744281e6,1.001,133,6855725.5
02480c283dea91c64dd76777ade0517cf697a42ac7dd4892735b41d456f381a450,1.001,32,22070106.5
029eda74de66b675354054af719ba9e8f3f8954f88e2a8bcd0be8d7d191e9a11c1,1.001,30,9737778.0
03f02d965aea25de84613ad2be36573d2bd8c6d6dd47d9a516d233098c281d3ae7,1.001,94,40669549.5
02309f3556d51e9d855594762dcf68cb283fbfd7e48618b6cecb8cd90e2e34d8ad,1.001,200,54231744.5
03f456e8c3479654da4498b64c1aa80656a33561d52f3444f5930f5c4a410a6fb6,1.001,50,14302974.5
03f259a1908e98d3b618c79581e0ee04295a55e2d61e609db40f4e6f38c526a46a,1.001,81,34121055.5
037adcc69c3bc426516184dede4078dfa81a0d8131ae95b37d90e68edc89731f41,1.001,42,26558843.5
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,1.001,111,63220718.5
02b414e4e29a685b8699152be47a0420fa3c8ab59629d2da2d6c0a95c582636350,1.001,75,75850018.0
03ac2a5d7df493c67195067dfb38e7e250c89ecb4fe5c2d918fc31fd9a08695516,1.001,65,30146429.5
02466ebef568d1cb84430ca695e1488928a64672cd891d2581638966f14d6ef78c,1.001,30,43718822.5
031b3971363f95a2c645c96da138f9eec0a82ec41108d8c1946775e8f0e6638339,1.001,26,3366578.5
02d87c093848fcc3d36d42d0dd0c44eb6dda033f399783a6a78d93408bf4227851,1.001,50,5960877.5
0214ec84c84827dd4911de56d2ecb77d367c6f24c658b8acfe4826b01968e45594,1.001,23,4660185.0
03c73e43e92fab12af3461f723901f0bcdabdfdcf9b74973ad876bf0bff96a8676,1.001,66,24415910.5
031f8400b123834edd5736de9aac14ec0d77c11bff27f5a6eb0da5f6ce66ef0975,1.001,103,142449722.5
02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,1.001,155,102313362.0
03f86226c21a84c2596c24ae70102da3f409e96d8b8766eace2e9724cc78de7314,1.001,13,6883569.0
03f78684b49e125d73c1801b3529f7d663f08ae7e1dd5db416fe69d9cb47b1c50f,1.001,35,16496286.5
03c2c348fac3e4953a797ba632ae8379bd4ae0ccc8d2598b7207eb62019fcbd875,1.001,53,33609881.5
03e90fd715dd766a0ed532dc1ba45e5fb913b1dc29d5afd9b700548d98d53b598c,1.001,70,60274082.5
0251b2c9d22f3621f27188d8236db84d9fd84d42adac063b2633744638b81f34ac,1.001,189,18981145.5
032a438e14dde2082aefd287d52664d3ac99c395a99d5e6a87f38778515fad75f7,1.001,65,80205162.5
022c699df736064b51a33017abfc4d577d133f7124ac117d3d9f9633b6297a3b6a,1.001,247,234909643.0
03b2312fa65b43b9ebc6d824af6ac0ad2cee7a490fd3a79af25f7a77bdd6f25c42,1.001,105,14900000.0
02964c50e89786896df7e5d10d7bb6995b0bbdaf891ff24fbcc52b75aae544e514,1.001,51,16086093.5
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,1.0,305,867336660.5
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,1.0,410,847234684.5
02b873b95a7b654fd70aa7af6f3d37bff83317f5db6a4f32c9b45b6f4cb1b065dc,1.0,19,3738555.0
0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131,0.9,110,35816121.5
024a8228d764091fce2ed67e1a7404f83e38ea3c7cb42030a2789e73cf3b341365,0.81,40,17697542.0
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,0.753,104,21689128.5
02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5,0.75,87,45053972.5
02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab,0.674,12,5519500.0
039d510570ab6e65fc8fb1f9ada5b63dc0f703a8d7dbde2fc11fb6f1e5810f6bbb,0.654,57,72661934.5
0384417e479afb21bff425f467382f9c064ac08bd422ea36542fa6799e026d77e6,0.6060000000000001,43,40554929.5
0335f1fcbb62b9490d0b4007fa158669e42f08599149b2cc54ed1d36888737e6d7,0.5509999999999999,32,16431451.0
03a7daef60143b48b44769ff0daebcbd1796ca49d346bab7617ced5754e5b5240e,0.51,24,15474482.0
0278630413d5af0d3981e1788d9ff27e47bc5640ac2ecb6d123309a0992a67bb08,0.501,25,28879550.5
035ee4232e84202c4c7a70f479beba74a424b7ee6235123400071844fa2efedd7e,0.501,55,18405637.0
0207d58b94bd3946bf7eb8c27cea6cc29d147485efb33f284894e59062592f398a,0.5,23,5469615.0
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0.46950000000000003,1627,406836193.5
03d4d48ecccfe3f6a062f9ea3d948109ac008f4fdf8579607f20259eea1613c807,0.436,7,1837960.0
03434a39cd9a537c852fc8fb72454086d726f9111e9f730cef4985c39c11fae944,0.30300000000000005,139,61503464.5
021f05bd7bec2dacaafa9eea30e3c2dd64a1eee699c3aad6aeca8a5c6dd6ed3198,0.251,22,7172130.0
027cf99e95e346897a6f88212d5240fa790e3b4c97581bcffa354de10128998ce7,0.2,83,31497515.0
03935a378993d0b55056801b11957aaecb9f85f34b64245f864c22a2d25001de74,0.15300000000000002,41,45925351.5
02c58cabc78496cb847adbe4af654b2b0b94c54aa829840edde7777897a57e9db3,0.1,53,13931135.0
036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8,0.09999999999999999,99,36169635.5
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,0.063,274,124102359.0
02f8220c901057c536fc8b4fdffd4f88b8ddd9cf811af03bbf85dd2c1eb25a7262,0.06,36,9025000.0
02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,0.042,127,146095103.5
033aa93d8abed5a070efd69e1119351eed005b3af4c0de43db350adc2278c914d5,0.042,45,21361073.5
0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5,0.039999999999999994,86,85213443.0
0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,0.027,135,41499789.0
032b12c7415455a1000c43a56ac21dd72472e62ca7dc456f4a66bb8463bf8bfed1,0.026000000000000002,27,10671963.5
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,0.02,141,103324223.0
031d2bbc75802689312220a017c6b51fa246efc59c7aa9355f6f7395038ffb4d6a,0.018000000000000002,59,23795208.5
03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c,0.016,57,34906475.0
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,0.014,198,121613676.5
037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,0.014,114,65353679.0
03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,0.012,125,30715765.5
02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,0.011,67,51188061.5
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,0.01,249,202465901.5
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0.01,162,52261807.0
03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,0.009000000000000001,110,91322278.5
03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,0.008,46,21289942.0
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,0.007,70,71583234.0
02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff,0.006,43,43953916.0
03c4bb19c3a388d790968328b0f0d187a1a28597d3ad082200a47baadfdb6aee8d,0.005,126,50913563.0
02e588464f41b295e8c20fd1e1362437f40375cae6a8155cf20a9a9e2ec9b3b2e4,0.005,23,3962559.5
02731b798b39a09f9f14e90ee601afb6ebb796d6e5797de14582a978770b33700f,0.004,98,31972246.0
030b04c5d37b8cb3acd324edefed38e170d355c8f0953718307b894321d576615f,0.004,16,17231125.0
0360e94b6a5ba69e9349ea1077890b6384a4b9e6368e100316d85e22a534f552a8,0.004,13,3231174.5
03aedc5302d3fa4c33eb84f98287a78268d0cdfa70624f7708664264880f6b482c,0.003,13,831533.5
02f302189b8c0028aa919e5441a5d7e80c82ebdff421219e34408acea58274a823,0.003,48,63791503.5
029a06f84c9bfddcf4dca173a4d1a540e6ce7f75cc7d1dde9fd5a70d80c504da07,0.003,52,57626941.5
0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2,0.003,15,1351789.0
023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd,0.002,109,119282276.0
02c88a0df5e9ea7df582647f79b70b8e441047de308fd6b24408b8bd775f2234bd,0.002,15,11978908.0
03c0a04ca63b5ee4365393b69cb364a46a8b8d202a491802ef1a7981adac3e0f16,0.002,6,10750000.0
03952f8756c036669440e06c782c7f21732886ccf04052e0e6e792f8f5a490f6aa,0.002,8,6200000.0
031567fdf33cb9b4ab081019199295ffce38218751842a403e9fcf48778e4c3022,0.001,29,51895838.5
029aee02904d4e419770b93c1b07aae2814a79032e23cafb4024cbea6fb71be106,0.001,45,48306833.0
032260c3b64b471b7eb0630b4af5d07ca94ff4e759573cbbe1bfb25845c375ed6e,0.001,11,7999360.5
024bda1ec91b277d311aa60d04b1fb856efcc7897c876746b680c1f985fe973f73,0.001,49,17558040.5
0269b91661812bae52280a68eec2b89d38bf26b33966441ad70aa365e120a125ff,0.001,77,27102289.5
03842a085b8b89da9db708b83aae8e9baff7a0a6f34368a439aa8d2ca3e408a662,0.0,28,4975104.0
02fcc4b0a87749b022f05568d5ef893b7893bcbaa99276bbbb55d9e9abc1bdced0,0.0,44,17590590.0
